1	곳	0001.placeholder
2	다음	0002.placeholder
3	내리다	0003.placeholder
4	차내리다	0004.placeholder
5	도착	0005.placeholder
6	가다	0006.placeholder
7	저기	0007.placeholder
8	맞다	0008.placeholder
9	방법	0009.placeholder
10	지하철	0010.placeholder
11	실종	0011.placeholder
12	무엇	0012.placeholder
13	전	0013.placeholder
14	안되다	0014.mp4
15	길	0015.placeholder
16	버스	0016.placeholder
17	여기	0017.placeholder
18	목적	0018.placeholder
19	잃어버리다	0019.placeholder
20	없다	0020.placeholder
21	찾다	0021.placeholder
22	보다	0022.placeholder
23	카드	0023.placeholder
24	사용	0024.placeholder
25	에어컨	0025.placeholder
26	꺼지다	0026.placeholder
27	샛길	0027.placeholder
28	걷다	0028.placeholder
29	고장	0029.placeholder
30	오케이	0030.placeholder
31	불가능	0031.placeholder
32	불량	0032.placeholder
33	사라지다	0033.placeholder
34	나사렛	0034.placeholder
35	공항	0035.placeholder
36	언덕	0036.placeholder
37	택시	0037.placeholder
38	가능	NIA_SL_WORD1504_REAL01_D.mp4
39	신호등	0039.placeholder
40	한국농아인협회	0040.placeholder
41	명동	0041.placeholder
42	사거리	0042.placeholder
43	지름길	0043.placeholder
44	막히다	0044.placeholder
45	결점	0045.placeholder
46	근근이	0046.placeholder
47	유구무언	0047.placeholder
48	함구	0048.placeholder
49	얕보다	0049.placeholder
50	지도	0050.placeholder
51	뻔뻔	0051.placeholder
52	결심	0052.placeholder
53	송파	0053.placeholder
54	기차	0054.placeholder
55	잘	0055.placeholder
56	시청	0056.placeholder
57	죽다	0057.placeholder
58	병원	0058.placeholder
59	단말기터치	0059.placeholder
60	확인	0060.placeholder
61	은행	0061.placeholder
62	서울대학교	0062.placeholder
63	여의도	0063.placeholder
64	보건소	0064.placeholder
65	건너다	0065.placeholder
66	우회전	0066.placeholder
67	백화점	0067.placeholder
68	돈	0068.placeholder
69	좌회전	0069.placeholder
70	자판기	0070.placeholder
71	영등포	0071.placeholder
72	격노	0072.placeholder
73	빨리	0073.placeholder
74	경찰	0074.placeholder
75	물품보관	0075.placeholder
76	무례	0076.placeholder
77	순식간	0077.placeholder
78	아하	0078.placeholder
79	판박이	0079.placeholder
80	맥없다	0080.placeholder
81	아부	0081.placeholder
82	내뱉다	0082.mp4
83	포기	0083.placeholder
84	봐주다	0084.placeholder
85	무자비	0085.placeholder
86	빌리다	0086.placeholder
87	돕다	0087.placeholder
88	욕하다	0088.placeholder
89	주다	0089.placeholder
90	지불하다	0090.placeholder
91	대출	0091.placeholder
92	놀랍다	0092.placeholder
93	의문	0093.placeholder
94	거만	0094.placeholder
95	폐업	0095.mp4
96	원하다	0096.placeholder
97	거지	0097.placeholder
98	밉다	0098.placeholder
99	배려	0099.placeholder
100	야단치다	0100.placeholder
101	시간	0101.placeholder
102	되다	0102.placeholder
103	갈아타다	0103.placeholder
104	종로	0104.placeholder
105	켜다	0105.placeholder
106	때리다	0106.placeholder
107	뚱뚱하다	0107.placeholder
108	초대	0108.placeholder
109	째려보다	0109.placeholder
110	자다	0110.placeholder
111	학교	0111.placeholder
112	119	0112.placeholder
